location,vader_compound
"California, USA",0.1688892584135804
"Chicago, USA",0.15019891246684383
"Ciaro, Egypt",0.08763714285714284
"Delhi, India",0.17103362271234174
"Florida, USA",0.1922351569651593
"Melbourne, Australia",0.1021790171990173
"Mexico, Mexico",0.018934094616639495
"Moscow, Russia",0.17153266666666664
"Mumbai, India",0.17136724371111733
"NewYork, USA",0.09883911290322576
"Paris, France",0.11062732857380041
"Shangai, China",0.17559523809523808
Sweden,0.13570515370705236
"Sydney, Australia",0.07122711954593837
"Washington, USA",0.16656338872241816
