,Unnamed: 0,id,author_id,text,retweets,permalink,date,formatted_date,favorites,mentions,hashtags,geo,urls,search_hashtags,location,text_clean,tb_sentiment_polarity,tb_sentiment_subjectivity,textBlob_sentiment,vader_compound,vader_pos,vader_neg,vader_neu,V_Sentiment
3116,3116,1.18355e+18,1.18e+18,"What this theatrical belligerent idiot @AOC near tears talks about! From colonialism, racism, oppression, to fictitious #ClimateChange! #PuertoRico is it's not part of the #US! Is it free &amp; independent country annexed to the #US Some people aren't meant to populate, anyways! ",3,https://twitter.com/Templar_Nation/status/1183546823451041792,2019-10-14 00:55:26+00:00,Mon Oct 14 00:55:26 +0000 2019,6,@AOC,#ClimateChange #PuertoRico #US #US,,,#climatechange,"California, USA",What this theatrical belligerent idiot AOC near tears talks about From colonialism racism oppression to fictitious ClimateChange PuertoRico is its not part of the US Is it free amp independent country annexed to the US Some people arent meant to populate anyways ,-0.06000000000000001,0.425,negative,-0.7184,0.065,0.184,0.7509999999999999,Negative
3130,3130,1.18296e+18,108193922.0,Well @AOC the whole #climatechange #hoax is nothing but attacking #motherhood It is all about #populationcontrol about #killingbabies Some advice! Stop blabbing and start thinking. Stop being a #usefulidiot,0,https://twitter.com/FrStephenImb/status/1182956038858903553,2019-10-12 09:47:52+00:00,Sat Oct 12 09:47:52 +0000 2019,0,@AOC,#climatechange #hoax #motherhood #populationcontrol #killingbabies #usefulidiot,,,#climatechange,"California, USA",Well AOC the whole climatechange hoax is nothing but attacking motherhood It is all about populationcontrol about killingbabies Some advice Stop blabbing and start thinking Stop being a usefulidiot,0.2,0.4,positive,-0.3356,0.13699999999999998,0.205,0.659,Negative
3797,3797,1.16813e+18,1418532182.0,@AOC @BernieSanders Both of you should start paying attention. #climatechange is a hoax. ,0,https://twitter.com/RedskinGlen/status/1168131869134790656,2019-09-01 12:01:55+00:00,Sun Sep 01 12:01:55 +0000 2019,0,@AOC @BernieSanders,#climatechange,,https://twitter.com/EyesOnQ/status/1168081730957451264,#climatechange,"California, USA",AOC BernieSanders Both of you should start paying attention climatechange is a hoax ,0.0,0.0,positive,-0.2732,0.0,0.16,0.84,Negative
4171,4171,1.14901e+18,18981878.0,Declaring a “climate emergency is frankly acknowledging the actual scientific facts.” @repblumenauer @AOC @SenSanders #ClimateEmergency #ClimateChange @AGU_Eos @theAGU @AGUSciPolicy,1,https://twitter.com/RandyShowstack/status/1149013133178089472,2019-07-10 17:50:53+00:00,Wed Jul 10 17:50:53 +0000 2019,0,@repblumenauer @AOC @SenSanders @AGU_Eos @theAGU @AGUSciPolicy,#ClimateEmergency #ClimateChange,,https://eos.org/articles/legislators-introduce-climate-emergency-resolution,#climatechange,"California, USA",Declaring a “climate emergency is frankly acknowledging the actual scientific facts” repblumenauer AOC SenSanders ClimateEmergency ClimateChange AGUEos theAGU AGUSciPolicy,0.0,0.1,positive,-0.3818,0.0,0.133,0.867,Negative
4759,4759,1.127e+18,17755895.0,'Our kids' lives are at stake': @AOC slams @JoeBiden over his 'middle-ground' approach to fighting #climatechange https://www.businessinsider.com/alexandria-ocasio-cortez-slams-joe-biden-on-climate-change-2019-5?utm_content=bufferdcec0&amp;utm_medium=social&amp;utm_source=facebook.com&amp;utm_campaign=buffer-bi?utm_source=twitter&amp;utm_medium=referral&amp;utm_content=topbar&amp;utm_term=mobile&amp;referrer=twitter via @businessinsider,0,https://twitter.com/ortizee21ios08/status/1126997397647892480,2019-05-10 23:48:12+00:00,Fri May 10 23:48:12 +0000 2019,0,@AOC @JoeBiden @businessinsider,#climatechange,,https://www.businessinsider.com/alexandria-ocasio-cortez-slams-joe-biden-on-climate-change-2019-5?utm_content=bufferdcec0&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer-bi?utm_source=twitter&utm_medium=referral&utm_content=topbar&utm_term=mobile&referrer=twitter,#climatechange,"California, USA",Our kids lives are at stake AOC slams JoeBiden over his middleground approach to fighting climatechange ocasiocortezslamsjoebidenonclimatechange20195utmcontentbufferdcec0amputmmediumsocialamputmsourceutmcampaignbufferbiutmsourcetwitteramputmmediumreferralamputmcontenttopbaramputmtermmobileampreferrertwitter via businessinsider,0.0,0.0,positive,-0.3612,0.0,0.122,0.878,Negative
5007,5007,1.11566e+18,705293666.0,@AOC &amp; @RepRashida bring @OversightDems hearing on The Need for Leadership to Combat #ClimateChange and Protect #NatSec back to facts of #climateimpacts. Harm is borne unequally. Poverty reduces #resilience. Chuck Hagel agrees &amp; @johnkerry says we're complicit if we don't act. – at Rayburn House Office Building,0,https://twitter.com/MonicaEGowan/status/1115662392057372675,2019-04-09 17:06:56+00:00,Tue Apr 09 17:06:56 +0000 2019,0,@AOC @RepRashida @OversightDems @JohnKerry,#ClimateChange #NatSec #climateimpacts #resilience,,,#climatechange,"California, USA",AOC amp RepRashida bring OversightDems hearing on The Need for Leadership to Combat ClimateChange and Protect NatSec back to facts of climateimpacts Harm is borne unequally Poverty reduces resilience Chuck Hagel agrees amp johnkerry says were complicit if we dont act – at Rayburn House Office Building,0.0,0.0,positive,-0.7003,0.081,0.168,0.7509999999999999,Negative
5102,5102,1.1109e+18,9.89e+17,Women are strong as hell @AOC #womenareamazing #GreenNewDeal #ClimateChange ,2,https://twitter.com/FancyAcademic/status/1110897861225562112,2019-03-27 13:34:24+00:00,Wed Mar 27 13:34:24 +0000 2019,2,@AOC,#womenareamazing #GreenNewDeal #ClimateChange,,https://twitter.com/guardian/status/1110854289579216897,#climatechange,"California, USA",Women are strong as hell AOC womenareamazing GreenNewDeal ClimateChange ,0.4333333333333333,0.7333333333333333,positive,-0.3182,0.221,0.309,0.47,Negative
5510,5510,1.17537e+18,446473873.0,Women are leading the fight against the #ClimateCrisis @Jamie_Margolin @GretaThunberg @AOC @VarshPrakash . So gratefull for all of them #GreenNewDeal,0,https://twitter.com/mistafuntastic/status/1175374531747360768,2019-09-21 11:41:40+00:00,Sat Sep 21 11:41:40 +0000 2019,1,@Jamie_Margolin @GretaThunberg @AOC @VarshPrakash,#ClimateCrisis #GreenNewDeal,,,#greennewdeal,"California, USA",Women are leading the fight against the ClimateCrisis JamieMargolin GretaThunberg AOC VarshPrakash  So gratefull for all of them GreenNewDeal,0.0,0.0,positive,-0.3818,0.0,0.126,0.8740000000000001,Negative
5965,5965,1.11933e+18,31013444.0,"“Again, the women of the [CPC] have been putting their focus on bold legislative moves since they took office in January, whether it be the landmark #GreenNewDeal resolution sponsored by @AOC, @Ilhan’s #NOBAN legislation, or Pressley’s #BeHEARD Act to prevent workplace harassment",180,https://twitter.com/AyannaPressley/status/1119329184592035841,2019-04-19 19:57:28+00:00,Fri Apr 19 19:57:28 +0000 2019,1139,@AOC @Ilhan,#GreenNewDeal #NOBAN #BeHEARD,,https://twitter.com/voguemagazine/status/1119263630577602561,#greennewdeal,"California, USA",“Again the women of the CPC have been putting their focus on bold legislative moves since they took office in January whether it be the landmark GreenNewDeal resolution sponsored by AOC Ilhan’s NOBAN legislation or Pressley’s BeHEARD Act to prevent workplace harassment,0.3333333333333333,0.6666666666666666,positive,-0.128,0.10800000000000001,0.075,0.8170000000000001,Negative
5976,5976,1.11832e+18,3119877934.0,Steve and I wrote this piece about the new @ClimateCrisis committee (&amp; @sunrisemvmt &amp; @AOC ‘s fight for a Select Committee on the #GreenNewDeal) ,6,https://twitter.com/dharnanoor/status/1118320097691615232,2019-04-17 01:07:43+00:00,Wed Apr 17 01:07:43 +0000 2019,6,@ClimateCrisis @sunrisemvmt @AOC,#GreenNewDeal,,https://twitter.com/SteveAHorn/status/1118309710782820353,#greennewdeal,"California, USA",Steve and I wrote this piece about the new ClimateCrisis committee amp sunrisemvmt amp AOC ‘s fight for a Select Committee on the GreenNewDeal ,0.13636363636363635,0.4545454545454545,positive,-0.3818,0.0,0.11,0.89,Negative
5997,5997,1.11603e+18,9.95e+17,"10/ I'm not sure if @AOC follows #ScienceTwitter, but the #GreenNewDeal makes her one of my #30EarthMonthHeroes",3,https://twitter.com/TaotaoTasi/status/1116027702853742595,2019-04-10 17:18:33+00:00,Wed Apr 10 17:18:33 +0000 2019,6,@AOC,#ScienceTwitter #GreenNewDeal #30EarthMonthHeroes,,,#greennewdeal,"California, USA",10 Im not sure if AOC follows ScienceTwitter but the GreenNewDeal makes her one of my 30EarthMonthHeroes,-0.25,0.8888888888888888,negative,-0.1232,0.0,0.085,0.915,Negative
6046,6046,1.11126e+18,3236463403.0,"Agree that this is a poor choice of words and characterization. Had this been a man, I’m highly doubtful that “flips out” would have even made it to a first draft. #AOC @AOC @KirstenPowers #genderbias #genderequity #unconsciousbias #Politics #GreenNewDeal ",0,https://twitter.com/DrKlintPeebles/status/1111260420252278784,2019-03-28 13:35:05+00:00,Thu Mar 28 13:35:05 +0000 2019,0,@AOC @KirstenPowers,#AOC #genderbias #genderequity #unconsciousbias #Politics #GreenNewDeal,,https://twitter.com/KirstenPowers/status/1111254870626127872,#greennewdeal,"California, USA",Agree that this is a poor choice of words and characterization Had this been a man I’m highly doubtful that “flips out” would have even made it to a first draft AOC AOC KirstenPowers genderbias genderequity unconsciousbias Politics GreenNewDeal ,-0.3166666666666667,0.6111111111111109,negative,-0.5095,0.061,0.14,0.799,Negative
6060,6060,1.11097e+18,165067329.0,"It seems @AOC and her #GreenNewDeal got as much support in the Senate as......I really have no comparison. I can't believe an entire room of politicians agreed without disscent, that something stupid was stupid.",0,https://twitter.com/NYYanksBear/status/1110969410255286272,2019-03-27 18:18:42+00:00,Wed Mar 27 18:18:42 +0000 2019,0,@AOC,#GreenNewDeal,,,#greennewdeal,"California, USA",It seems AOC and her GreenNewDeal got as much support in the Senate as really have no comparison I cant believe an entire room of politicians agreed without disscent that something stupid was stupid,-0.23999999999999996,0.605,negative,-0.6682,0.114,0.221,0.665,Negative
6061,6061,1.11097e+18,9.23e+17,"@RCamposDuffy @AOC AOC, the children in the south Bronx have a higher asthma rate because of their LIVING CONDITIONS! They live in apartments infected with MOLD! How about you start worrying about things that will ACTUALLY HELP CHILDREN????? #GreenNewDeal",0,https://twitter.com/lillysmithstee1/status/1110968977034014725,2019-03-27 18:16:59+00:00,Wed Mar 27 18:16:59 +0000 2019,0,@RCamposDuffy @AOC,#GreenNewDeal,,,#greennewdeal,"California, USA",RCamposDuffy AOC AOC the children in the south Bronx have a higher asthma rate because of their LIVING CONDITIONS They live in apartments infected with MOLD How about you start worrying about things that will ACTUALLY HELP CHILDREN GreenNewDeal,0.12878787878787878,0.3666666666666667,positive,-0.2885,0.078,0.127,0.795,Negative
6067,6067,1.1109e+18,9.89e+17,Women are strong as hell @AOC #womenareamazing #GreenNewDeal #ClimateChange,2,https://twitter.com/FancyAcademic/status/1110897861225562112,2019-03-27 13:34:24+00:00,Wed Mar 27 13:34:24 +0000 2019,2,@AOC,#womenareamazing #GreenNewDeal #ClimateChange,,https://twitter.com/guardian/status/1110854289579216897,#greennewdeal,"California, USA",Women are strong as hell AOC womenareamazing GreenNewDeal ClimateChange,0.4333333333333333,0.7333333333333333,positive,-0.3182,0.221,0.309,0.47,Negative
6096,6096,1.11059e+18,3236463403.0,"This is a pathetic attack on the principles of the #GreenNewDeal. Seriously? Posters? What’s next? Balloons and a piñata?? Our future deserves respect, due consideration, and #ACTION, not theatric dismissal. #ClimateActionNow #ClimateJustice @AOC #ClimateChangeIsReal",0,https://twitter.com/DrKlintPeebles/status/1110588803855593472,2019-03-26 17:06:19+00:00,Tue Mar 26 17:06:19 +0000 2019,0,@AOC,#GreenNewDeal #ACTION #ClimateActionNow #ClimateJustice #ClimateChangeIsReal,,https://twitter.com/AOC/status/1110586439409025024,#greennewdeal,"California, USA",This is a pathetic attack on the principles of the GreenNewDeal Seriously Posters What’s next Balloons and a piñata Our future deserves respect due consideration and ACTION not theatric dismissal ClimateActionNow ClimateJustice AOC ClimateChangeIsReal,-0.2263888888888889,0.37777777777777777,negative,-0.6597,0.078,0.215,0.7070000000000001,Negative
6142,6142,1.10731e+18,1.1e+18,"Eat shit , you guys are the lowest of the low. You spread hate and bullshit when ever you can. You make fun of a war hero after he is dead. @RepAOC @AOC @cenkuygur @SarahSmith4WA are working to make the USA a better place. #GreenNewDeal #GND #MedicareForAll #SundayMotivation",2,https://twitter.com/JesseD05553458/status/1107314735848931328,2019-03-17 16:16:20+00:00,Sun Mar 17 16:16:20 +0000 2019,6,@RepAOC @AOC @cenkuygur @SarahSmith4WA,#GreenNewDeal #GND #MedicareForAll #SundayMotivation,,,#greennewdeal,"California, USA",Eat shit  you guys are the lowest of the low You spread hate and bullshit when ever you can You make fun of a war hero after he is dead RepAOC AOC cenkuygur SarahSmith4WA are working to make the USA a better place GreenNewDeal GND MedicareForAll SundayMotivation,-0.06666666666666665,0.5166666666666667,negative,-0.9349,0.142,0.349,0.509,Negative
6468,6468,1.17537e+18,446473873.0,Women are leading the fight against the #ClimateCrisis @Jamie_Margolin @GretaThunberg @AOC @VarshPrakash . So gratefull for all of them #GreenNewDeal,0,https://twitter.com/mistafuntastic/status/1175374531747360768,2019-09-21 11:41:40+00:00,Sat Sep 21 11:41:40 +0000 2019,1,@Jamie_Margolin @GretaThunberg @AOC @VarshPrakash,#ClimateCrisis #GreenNewDeal,,,#climatecrisis,"California, USA",Women are leading the fight against the ClimateCrisis JamieMargolin GretaThunberg AOC VarshPrakash  So gratefull for all of them GreenNewDeal,0.0,0.0,positive,-0.3818,0.0,0.126,0.8740000000000001,Negative
6720,6720,1.14833e+18,930989606.0,"Proud of my Congressman @repblumenauer for joining with @AOC and @SenSanders in drafting a resolution on the climate crisis. I was visiting family in Philly, Bucks County, and the Pocono Mountains this week and have been unnerved by the extreme heat &amp; humidity. #ClimateCrisis ",0,https://twitter.com/RobAmerman/status/1148334989412589569,2019-07-08 20:56:11+00:00,Mon Jul 08 20:56:11 +0000 2019,0,@repblumenauer @AOC @SenSanders,#ClimateCrisis,,https://twitter.com/KtreeThomas/status/1148305620099092480,#climatecrisis,"California, USA",Proud of my Congressman repblumenauer for joining with AOC and SenSanders in drafting a resolution on the climate crisis I was visiting family in Philly Bucks County and the Pocono Mountains this week and have been unnerved by the extreme heat amp humidity ClimateCrisis ,0.3375,1.0,positive,-0.25,0.066,0.087,0.847,Negative
8936,8936,1.1892e+18,1.16e+18,“It’s important to remember that the cost of a dirty car also includes my nephew’s nebulizer.” @AOC @OversightDems #ActOnClimate #CleanerCars – at House Oversight Committee,0,https://twitter.com/elreynolds_5/status/1189201767159996418,2019-10-29 15:26:10+00:00,Tue Oct 29 15:26:10 +0000 2019,2,@AOC @OversightDems,#ActOnClimate #CleanerCars,,,#actonclimate,"California, USA",“It’s important to remember that the cost of a dirty car also includes my nephew’s nebulizer” AOC OversightDems ActOnClimate CleanerCars – at House Oversight Committee,-0.09999999999999998,0.9,negative,-0.2732,0.07,0.113,0.8170000000000001,Negative
8988,8988,1.17693e+18,2509097196.0,@Claudytilsummer @knikkiii @iris_marcelina @GreenLatinos @KamalaHarris @AOC #ActOnClimate #cleancars #cutmethane #CleanAir4kids In the Senate Gallery as they voted 54-41 to terminate President Trump’s declaration of a national emergency at the southern border – at U.S. Senate,1,https://twitter.com/BetolMartinez/status/1176933868101951489,2019-09-25 18:57:55+00:00,Wed Sep 25 18:57:55 +0000 2019,2,@Claudytilsummer @knikkiii @iris_marcelina @GreenLatinos @KamalaHarris @AOC,#ActOnClimate #cleancars #cutmethane #CleanAir4kids,,,#actonclimate,"California, USA",Claudytilsummer knikkiii irismarcelina GreenLatinos KamalaHarris AOC ActOnClimate cleancars cutmethane CleanAir4kids In the Senate Gallery as they voted 5441 to terminate President Trump’s declaration of a national emergency at the southern border – at  Senate,0.0,0.0,positive,-0.3818,0.0,0.077,0.9229999999999999,Negative
11796,11796,1.11129e+18,43674937.0,https://www.npr.org/2019/03/28/707506544/air-force-needs-almost-5-billion-to-recover-bases-from-hurricane-flood-damage?utm_source=facebook.com&amp;utm_medium=social&amp;utm_campaign=npr&amp;utm_term=nprnews&amp;utm_content=20190328&amp;fbclid=IwAR22qaYQcnfMv5aJE18kQBlz6cFmJQl_YMf73SAM1Au-oRaQMrRYYzlxVf4 @realDonaldTrump @AOC we can pay for a #GreenNewDeal or we can keep paying for these affects of #ClimateChange,0,https://twitter.com/PamSGray/status/1111292460788080640,2019-03-28 15:42:24+00:00,Thu Mar 28 15:42:24 +0000 2019,0,@realDonaldTrump @AOC,#GreenNewDeal #ClimateChange,,https://www.npr.org/2019/03/28/707506544/air-force-needs-almost-5-billion-to-recover-bases-from-hurricane-flood-damage?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20190328&fbclid=IwAR22qaYQcnfMv5aJE18kQBlz6cFmJQl_YMf73SAM1Au-oRaQMrRYYzlxVf4,#climatechange,"Chicago, USA",forceneedsalmost5billiontorecoverbasesfromhurricaneflooddamageutmsourceutmmediumsocialamputmcampaignnpramputmtermnprnewsamputmcontent20190328ampfbclidIwAR22qaYQcnfMv5aJE18kQBlz6cFmJQlYMf73SAM1AuoRaQMrRYYzlxVf4 realDonaldTrump AOC we can pay for a GreenNewDeal or we can keep paying for these affects of ClimateChange,0.0,0.0,positive,-0.1027,0.0,0.076,0.924,Negative
11798,11798,1.11103e+18,55308593.0,“Science should not be partisan..”!!! Thank you @AOC.. it’s INSANE that there’s even a question about that in 2019! #scienceshouldnotbepartisan #climatechange #GreenNewDeal #thesciencebehindclimatechangeisreal ,1,https://twitter.com/MaxeenDeniro/status/1111029834115887105,2019-03-27 22:18:49+00:00,Wed Mar 27 22:18:49 +0000 2019,1,@AOC,#scienceshouldnotbepartisan #climatechange #GreenNewDeal #thesciencebehindclimatechangeisreal,,https://twitter.com/briantylercohen/status/1110700996282343424,#climatechange,"Chicago, USA",“Science should not be partisan” Thank you AOC it’s INSANE that there’s even a question about that in 2019 scienceshouldnotbepartisan climatechange GreenNewDeal thesciencebehindclimatechangeisreal ,-1.0,1.0,negative,-0.675,0.0,0.217,0.7829999999999999,Negative
11894,11894,1.19583e+18,6211352.0,"@washingtonpost guaranteeing housing as a human right would be a ""crackdown on homelessness."" @BernieSanders &amp; @AOC's #GreenNewDeal for Public Housing Act is a ""crackdown on homelessness."" This is not. This amounts to punishing the unhoused for being visible, for their personhood ",0,https://twitter.com/skylar_moran/status/1195829706186248192,2019-11-16 22:23:14+00:00,Sat Nov 16 22:23:14 +0000 2019,0,@washingtonpost @BernieSanders @AOC,#GreenNewDeal,,https://twitter.com/skylar_moran/status/1195828186770227201,#greennewdeal,"Chicago, USA",washingtonpost guaranteeing housing as a human right would be a crackdown on homelessness BernieSanders amp AOCs GreenNewDeal for Public Housing Act is a crackdown on homelessness This is not This amounts to punishing the unhoused for being visible for their personhood ,0.09523809523809523,0.2341269841269841,positive,-0.5574,0.0,0.08900000000000001,0.9109999999999999,Negative
