,Unnamed: 0,id,author_id,text,retweets,permalink,date,formatted_date,favorites,mentions,hashtags,geo,urls,search_hashtags,location,text_clean,tb_sentiment_polarity,tb_sentiment_subjectivity,textBlob_sentiment,vader_compound,vader_pos,vader_neg,vader_neu,V_Sentiment
787,787,1.17507e+18,86206767.0,The #climatestrike protesters are edging towards the Capitol. Several youth activists will address the crowd as well as Rep.Ilhan Omar @IlhanMN Rep Rashida Tlaib @RashidaTlaib and Alexandria Ocasio-Cortez @AOC @Fridays4future,0,https://twitter.com/pablofoleyelias/status/1175070306869886977,2019-09-20 15:32:47+00:00,Fri Sep 20 15:32:47 +0000 2019,0,@IlhanMN @RashidaTlaib @AOC @Fridays4future,#climatestrike,,,#climatestrike,"California, USA",The climatestrike protesters are edging towards the Capitol Several youth activists will address the crowd as well as  Omar IlhanMN Rep Rashida Tlaib RashidaTlaib and Alexandria OcasioCortez AOC Fridays4future,0.0,0.0,positive,0.0516,0.068,0.061,0.871,Positive
1974,1974,1.17507e+18,86206767.0,The #climatestrike protesters are edging towards the Capitol. Several youth activists will address the crowd as well as Rep.Ilhan Omar @IlhanMN Rep Rashida Tlaib @RashidaTlaib and Alexandria Ocasio-Cortez @AOC @Fridays4future,0,https://twitter.com/pablofoleyelias/status/1175070306869886977,2019-09-20 15:32:47+00:00,Fri Sep 20 15:32:47 +0000 2019,0,@IlhanMN @RashidaTlaib @AOC @Fridays4future,#climatestrike,,,#climatestrike,"California, USA",The climatestrike protesters are edging towards the Capitol Several youth activists will address the crowd as well as  Omar IlhanMN Rep Rashida Tlaib RashidaTlaib and Alexandria OcasioCortez AOC Fridays4future,0.0,0.0,positive,0.0516,0.068,0.061,0.871,Positive
3120,3120,1.18341e+18,1.09e+18,@AOC tries #ScaringKids they've got 12yrs LEFT Now EMOTIONAL ATTACK GOV'T RUN #GREENNEWDEAL ISN'T World's SAVIOR #CLIMATECHANGE INVENTION LIKE #SolarBlinds &amp; Windows #SolarRoads #AlgaeCO2CarbonFibers create Steel-like BEAMS light as ALUMINUM #CO2Scrubbers #SuperCapacitorBattery https://twitter.com/OnlyGod4ever/status/1183238308022800385,1,https://twitter.com/moderateRepand1/status/1183405002532016128,2019-10-13 15:31:53+00:00,Sun Oct 13 15:31:53 +0000 2019,1,@AOC,#ScaringKids #GREENNEWDEAL #CLIMATECHANGE #SolarBlinds #SolarRoads #AlgaeCO2CarbonFibers #CO2Scrubbers #SuperCapacitorBattery,,https://twitter.com/OnlyGod4ever/status/1183238308022800385,#climatechange,"California, USA",AOC tries ScaringKids theyve got 12yrs LEFT Now EMOTIONAL ATTACK GOVT RUN GREENNEWDEAL ISNT Worlds SAVIOR CLIMATECHANGE INVENTION LIKE SolarBlinds amp Windows SolarRoads AlgaeCO2CarbonFibers create Steellike BEAMS light as ALUMINUM CO2Scrubbers SuperCapacitorBattery ,0.07500000000000001,0.4375,positive,0.4278,0.19399999999999998,0.09699999999999999,0.7090000000000001,Positive
3997,3997,1.15784e+18,188224479.0,How do we promote #ClimateJustice? We must invest in responses that prioritize the protection of the most vulnerable people in our #community. Thank you @KamalaHarris &amp; @AOC for your #leadership to address #equity and #climatechange. ,3,https://twitter.com/LaurenSorkin18/status/1157843628611592192,2019-08-04 02:40:07+00:00,Sun Aug 04 02:40:07 +0000 2019,6,@KamalaHarris @AOC,#ClimateJustice #community #leadership #equity #climatechange,,https://twitter.com/AOC/status/1155932298677612544,#climatechange,"California, USA",How do we promote ClimateJustice We must invest in responses that prioritize the protection of the most vulnerable people in our community Thank you KamalaHarris amp AOC for your leadership to address equity and climatechange ,0.0,0.5,positive,0.4417,0.13,0.055999999999999994,0.8140000000000001,Positive
4604,4604,1.13343e+18,258804648.0,"Dear @AOC, please don’t blame today’s pending tornadoes in PA on #climatechange, this is the time of year PA get tornadoes",0,https://twitter.com/AtmosFeerick/status/1133426621938130944,2019-05-28 17:35:39+00:00,Tue May 28 17:35:39 +0000 2019,0,@AOC,#climatechange,,,#climatechange,"California, USA",Dear AOC please don’t blame today’s pending tornadoes in PA on climatechange this is the time of year PA get tornadoes,0.0,0.0,positive,0.3612,0.19399999999999998,0.095,0.711,Positive
4681,4681,1.13025e+18,2342590009.0,"Every movement deserves its own cocktail: the “Green New Deal,” a cool drink for a hot planet. At Hill Prince in Washington, DC, bartender Trip shows off the cocktail that he will enter in competition Sunday eve at The Wharf in DC. #GreenNewDeal #climatechange @AOC @sunrisemvmt",0,https://twitter.com/NickySundt/status/1130248651073294336,2019-05-19 23:07:32+00:00,Sun May 19 23:07:32 +0000 2019,1,@AOC @sunrisemvmt,#GreenNewDeal #climatechange,,,#climatechange,"California, USA",Every movement deserves its own cocktail the “Green New Deal” a cool drink for a hot planet At Hill Prince in Washington DC bartender Trip shows off the cocktail that he will enter in competition Sunday eve at The Wharf in DC GreenNewDeal climatechange AOC sunrisemvmt,0.22727272727272724,0.6509090909090911,positive,0.3182,0.051,0.0,0.9490000000000001,Positive
4704,4704,1.12868e+18,18981878.0,"Climate change “is the moral, the national security, public health, economic, and environmental issue of our time.” #GreenNewDeal #ClimateChange @AGU_Eos @theAGU @sunrisemvmt @SenMarkey @AOC @SenSanders https://eos.org/articles/green-new-deal-backers-rouse-enthusiastic-crowd",11,https://twitter.com/RandyShowstack/status/1128680468298248192,2019-05-15 15:16:08+00:00,Wed May 15 15:16:08 +0000 2019,30,@AGU_Eos @theAGU @sunrisemvmt @SenMarkey @AOC @SenSanders,#GreenNewDeal #ClimateChange,,https://eos.org/articles/green-new-deal-backers-rouse-enthusiastic-crowd,#climatechange,"California, USA",Climate change “is the moral the national security public health economic and environmental issue of our time” GreenNewDeal ClimateChange AGUEos theAGU sunrisemvmt SenMarkey AOC SenSanders newdealbackersrouseenthusiasticcrowd,0.06666666666666668,0.1722222222222222,positive,0.34,0.08800000000000001,0.0,0.912,Positive
4711,4711,1.12848e+18,18981878.0,"Climate change “is the moral, the national security, public health, economic, and environmental issue of our time.” #GreenNewDeal #ClimateChange @AGU_Eos @theAGU @sunrisemvmt @AOC @SenSanders @SenMarkey https://eos.org/articles/green-new-deal-backers-rouse-enthusiastic-crowd",2,https://twitter.com/RandyShowstack/status/1128476827595546624,2019-05-15 01:46:56+00:00,Wed May 15 01:46:56 +0000 2019,2,@AGU_Eos @theAGU @sunrisemvmt @AOC @SenSanders @SenMarkey,#GreenNewDeal #ClimateChange,,https://eos.org/articles/green-new-deal-backers-rouse-enthusiastic-crowd,#climatechange,"California, USA",Climate change “is the moral the national security public health economic and environmental issue of our time” GreenNewDeal ClimateChange AGUEos theAGU sunrisemvmt AOC SenSanders SenMarkey newdealbackersrouseenthusiasticcrowd,0.06666666666666668,0.1722222222222222,positive,0.34,0.08800000000000001,0.0,0.912,Positive
4718,4718,1.12838e+18,18981878.0,"Climate change “is the moral, the national security, public health, economic, and environmental issue of our time.” #GreenNewDeal #ActOnClimate #ClimateChange @AGU_Eos @theAGU @sunrisemvmt @AOC @SenSanders @SenMarkey",3,https://twitter.com/RandyShowstack/status/1128382221096816641,2019-05-14 19:31:00+00:00,Tue May 14 19:31:00 +0000 2019,4,@AGU_Eos @theAGU @sunrisemvmt @AOC @SenSanders @SenMarkey,#GreenNewDeal #ActOnClimate #ClimateChange,,https://eos.org/articles/green-new-deal-backers-rouse-enthusiastic-crowd,#climatechange,"California, USA",Climate change “is the moral the national security public health economic and environmental issue of our time” GreenNewDeal ActOnClimate ClimateChange AGUEos theAGU sunrisemvmt AOC SenSanders SenMarkey,0.06666666666666668,0.1722222222222222,positive,0.34,0.08800000000000001,0.0,0.912,Positive
4728,4728,1.1283e+18,54239985.0,"The moments that pumped up the crowd @sunrisemvmt's #GreenNewDeal rally, from @AOC's speech to others, weren't the wonky details about making building more efficient. They were the comments about tackling racism/injustice along side #climatechange + jabs at fossil fuel companies",1,https://twitter.com/Zhirji28/status/1128300980481798145,2019-05-14 14:08:11+00:00,Tue May 14 14:08:11 +0000 2019,2,@sunrisemvmt @AOC,#GreenNewDeal #climatechange,,,#climatechange,"California, USA",The moments that pumped up the crowd sunrisemvmts GreenNewDeal rally from AOCs speech to others werent the wonky details about making building more efficient They were the comments about tackling racisminjustice along side climatechange  jabs at fossil fuel companies,0.1,0.4,positive,0.4754,0.075,0.0,0.925,Positive
